Id,SleepDay,TotalSleepRecords,TotalMinutesAsleep,Sleephours,Sedentary time,Idlehours,TotalActive,Activehours,betteractivehours,TotalTimeInBed
7007744171,01-05-2016,1,58,1.0,1142.0,19.0,237.0,4.0,0.0,61
4319703577,21-04-2016,1,59,1.0,1265.0,21.1,34.0,0.6,0.0,65
2320127002,23-04-2016,1,61,1.0,1129.0,18.8,242.0,4.0,0.0,69
4388161847,09-05-2016,1,62,1.0,1020.0,17.0,283.0,4.7,0.4,65
5577150313,05-05-2016,1,74,1.2,1153.0,19.2,209.0,3.5,1.1,78
8053475328,07-05-2016,1,74,1.2,1076.0,17.9,289.0,4.8,2.4,75
4020332650,16-04-2016,1,77,1.3,1222.0,20.4,141.0,2.4,1.4,77
7007744171,16-04-2016,1,79,1.3,1155.0,19.3,203.0,3.4,0.0,82
4388161847,22-04-2016,1,82,1.4,945.0,15.8,322.0,5.4,1.7,85
4445114986,17-04-2016,1,98,1.6,1219.0,20.3,114.0,1.9,0.0,107
4388161847,18-04-2016,1,99,1.7,1017.0,17.0,274.0,4.6,0.6,104
4558609924,26-04-2016,1,103,1.7,1062.0,17.7,336.0,5.6,0.9,121
4445114986,29-04-2016,1,106,1.8,1106.0,18.4,226.0,3.8,0.0,108
4558609924,01-05-2016,1,115,1.9,1121.0,18.7,190.0,3.2,0.0,129
1644430081,29-04-2016,1,119,2.0,1193.0,19.9,120.0,2.0,0.0,127
4558609924,08-05-2016,1,123,2.1,1019.0,17.0,339.0,5.7,1.7,134
1644430081,30-04-2016,1,124,2.1,816.0,13.6,482.0,8.0,1.3,142
4558609924,21-04-2016,1,126,2.1,844.0,14.1,459.0,7.7,0.5,137
1644430081,08-05-2016,1,137,2.3,991.0,16.5,295.0,4.9,0.0,154
3977333714,20-04-2016,2,152,2.5,845.0,14.1,264.0,4.4,1.7,305
1927972279,28-04-2016,1,166,2.8,1167.0,19.5,95.0,1.6,0.0,178
